Stage 1 Payload Location,Hash Initial Sample,Hash Stage 3 (extracted from memory),Final Payload Family
Bitmap Resource,2a3ef660bc5ddec834f1f6473e07d4a2581dd0139d6f84742a1c2e9b5fd4561b,873eb1535c73bab017c8e351443519d576761c759884ea95e32d3ed26173fddc,RedLineStealer
Bitmap Resource,609bc44c18519741abb62259b700403e05cc0fd57b972ef68ca6ae8194d27f2a,052efeadeb1533936df0a1656b6f2f59f47ef10698274356e3231099f87427c4,AgentTesla
Bitmap Resource,6ced7485ee8e4bb2aa919984473fed8a6c9201b29dbd1930d41126521524483e,063ca3294442e1194f637e02186e9682f3872c59e6247b8a8c759e9cba936669,DarkCloudStealer
Bitmap Resource,81ccf158093718305b3499d0f16d8a82bcad69f2740066daca8d5b5ca9979688,d3987a5d9cb294e7cc7990c9a45b2a080dc99aa7b61fc4c9e437fc4659effda7,Remcos
Hardcoded Data,d81a0fe47c7cc9fdba1c13c2aa4f0372579f4c9ac51e16b7384da4b19c7c26a0,7532336b3fb752a7fa95aa1da5ddc527600d0cbba1aa2d77b46052439a32e619,Remcos
Bitmap Resource,51c95e12d8dcab7607fd6d5a2bbd4d524ebf7797e6857d6ec25f257c67d9b465,685478424a00d7690aad5768bf08e9a61f335dae5706eebf23e612b6d2cacdf8,Remcos
Bitmap Resource,26a36920e7a463398a4251828ec02fd965ad1d782f819b0c04904706efb083be,f6ae4366b5e0ae5e46c9c1ec6045cdfec80fed0e3292f3275a74f81800109d42,Remcos
Bitmap Resource,8b25b0ed0e18bb24684d10bb3afccf6e6290c95e89a79733914117e2c7b46b09,67834ed25fdfb709729e96fe948b4ada4a306e7aabb74f0e88e026fcf8b5a7af,VIPKeylogger
Bitmap Resource,98a11f5e0943f5a8e0475b4c7d87b5f67a1d39f7c44e564d86df4ebd687686f8,55dcc1f79972364f36ff76259502e5736c803fed67be7e586f51805a2471d7a8,Formbook
Bitmap Resource,342a6c5178eacedd99cd66da3bd81e767d0aa311441ad2089b087def3f5cb088,8ff3c42d9d0af296c0b6406bc8ac4253c938396c2fc5a33c7b8c8f47212eee8d,VIPKeylogger
Hardcoded Data,5631b2c6aa5495d9756f92501442b809e0f004d9fe2c1d423ef8906ca912c69b,d6e90b0ada45774227c6e3b6b1d14303188312b1e7dbf0b2a09f909fdf41dac9,404Keylogger
