SHA256,Malware Family,First Seen,Source,Notes,C2
ef0cb0a1a29bcdf2b36622f72734aec8d38326fc8f7270f78bd956e706a5fd57,ArtraDownloader,2018,PaloAlto Unit42,,hewle[.]kielsoservice[.]net
0b2a794bac4bf650b6ba537137504162520b67266449be979679afbb14e8e5c0,ArtraDownloader,2019,PaloAlto Unit42,,frameworksupport[.]net
f0ef4242cc6b8fa3728b61d2ce86ea934bd59f550de9167afbca0b0aaa3b2c22,ArtraDownloader,2018,PaloAlto Unit42,,aroundtheworld123[.]net
a241cfcd60942ea401d53d6e02ec3dfb5f92e8f4fda0aef032bee7bb5a344c35,WSCSPL,2018,QianXin,Dropped by ArtraDownloader,wcnchost[.]ddns[.]net
096e6546b5ca43adbe34bbedc84b002bbf399d2ecf08e83966757b88c5c0d2a2,WSCSPL,2018,Tencent,Dropped by ArtraDownloader,nethostsupport[.]ddns[.]net
225d865d61178afafc33ef89f0a032ad0e17549552178a72e3182b48971821a8,MuuyDownloader,2021,QianXin,,otx[.]gxwxtvonline[.]com
3fdf291e39e93305ebc9df19ba480ebd60845053b0b606a620bf482d0f09f4d3,MuuyDownloader,2021,Cisco Talos,,helpdesk[.]autodefragapp[.]com
91ddbe011f1129c186849cd4c84cf7848f20f74bf512362b3283d1ad93be3e42,MuuyDownloader,2022,Secuinfra,,m[.]huandocimama[.]com
edb68223db3e583f9a4dd52fd91867fa3c1ce93a98b3c93df3832318fd0a3a56,MuuyDownloader,2025,Threatray,,tradesmarkets[.]greenadelhouse[.]com
f619eb9a6255f6adcb02d59ed20f69d801a7db1f481f88e14abca2df020c4d26,Keylogger,2017,Tencent,Dropped by ArtraDownloader,N/A
1f9363e640e9fe0d25ef15ed5d3517ec5b3fb16e3b1abb58049f5ad45415654d,Keylogger,2021,QianXin,Dropped by MuuyDownloader,N/A
9319421ff52d7ea4cca08d1cc7064f9ed5b19ee19dbdde182a0e51325632df88,BDarkRAT,2019,DBAPPSecurity,"v1.22.7 Dropped by ArtraDownloader",mswinhostsvc[.]net
bf169e4dacda653c367b015a12ee8e379f07c5728322d9828b7d66f28ee7e07a,BDarkRAT,2024,QianXin,,wmiapcservice[.]com
e599c55885a170c7ae5c7dfdb8be38516070747b642ac21194ad6d322f28c782,BDarkRAT,2025,Proofpoint,,gorgxwebset[.]com
55901c2d5489d6ac5a0671971d29a31f4cdfa2e03d56e18c1585d78547a26396,AlmondRAT,2022,Secuinfra,Dropped by MuuyDownloader,64.44.131[.]109
d83cb82be250604b2089a1198cedd553aaa5e8838b82011d6999bc6431935691,AlmondRAT,2022,Secuinfra,Dropped by MuuyDownloader,64.44.131[.]109
811741d9df51a9f16272a64ec7eb8ff12f8f26794368b1ff4ad5d30a1f4bb42a,WmRAT,2023,QianXin,,uxmesysconsole[.]com
10cec5a84943f9b0c635640fad93fd2a2469cc46aae5e43a4604c903d139970f,WmRAT,2024,Proofpoint,,academymusica[.]com
8aeb7dd31c764b0cf08b38030a73ac1d22b29522fbcf512e0d24544b3d01d8b3,ORPCBackdoor,2022,KnownSec 404,,msdata[.]ddns[.]net
dd53768eb7d5724adeb58796f986ded3c9b469157a1a1757d80ccd7956a3dbda,ORPCBackdoor,2023,QianXin,,outlook-services[.]ddns[.]net
df5c0d787de9cc7dceeec3e34575220d831b5c8aeef2209bcd81f58c8b3c08ed,MiyaRAT,2024,QianXin,v1.1,samsnewlooker[.]com
c7ab300df27ad41f8d9e52e2d732f95479f4212a3c3d62dbf0511b37b3e81317,MiyaRAT,2024,Proofpoint,v3.0,samsnewlooker[.]com
0953d4cc6861082c079935918c63cd71df30e5e6854adf608a8b8f5254be8e99,MiyaRAT,2024,Threatray,v3.2,samsnewlooker[.]com
c2c92f2238bc20a7b4d4c152861850b8e069c924231e2fa14ea09e9dcd1e9f0a,MiyaRAT,2025,Proofpoint,v5.0,wusvcpsvc[.]com
4b62fc86273cdc424125a34d6142162000ab8b97190bf6af428d3599e4f4c175,KiwiStealer,2024,360 Security,,ebeninstallsvc[.]com
a56b5e90a08822483805f9ab38debb028eb5eade8d796ebf0ff1695c3c379618,KugelBlitz,2024,360 Security,,N/A
